Wavelength, Csca, Ip, Im, IT
nm, nm2, arb. units, arb. units, arb. units
1000, 68658.3, 2.26611e-26, 2.19229e-29, 6.85837e-29
985.222, 74004.6, 2.44742e-26, 2.54067e-29, 7.651e-29
970.874, 79742.8, 2.64018e-26, 2.91569e-29, 8.50199e-29
956.938, 85732.6, 2.84293e-26, 3.36789e-29, 9.39355e-29
943.396, 91954.2, 3.05477e-26, 3.91108e-29, 1.03173e-28
930.233, 98556, 3.27711e-26, 4.4992e-29, 1.12756e-28
917.431, 105512, 3.50965e-26, 5.15637e-29, 1.22477e-28
904.977, 112654, 3.74959e-26, 5.96095e-29, 1.31982e-28
892.857, 120015, 3.99618e-26, 6.88912e-29, 1.4113e-28
881.057, 127722, 4.25022e-26, 7.88947e-29, 1.49752e-28
869.565, 135653, 4.50902e-26, 9.05367e-29, 1.5731e-28
858.369, 143628, 4.76836e-26, 1.04662e-28, 1.63303e-28
847.458, 151721, 5.02734e-26, 1.20426e-28, 1.67515e-28
836.82, 159994, 5.28462e-26, 1.37737e-28, 1.69496e-28
826.446, 168219, 5.53404e-26, 1.58475e-28, 1.68538e-28
816.327, 176209, 5.76972e-26, 1.83053e-28, 1.64383e-28
806.452, 184044, 5.98911e-26, 2.10039e-28, 1.57146e-28
796.813, 191659, 6.18613e-26, 2.40626e-28, 1.46895e-28
787.402, 198680, 6.34917e-26, 2.77685e-28, 1.34442e-28
778.21, 204869, 6.46846e-26, 3.20488e-28, 1.22276e-28
769.231, 210183, 6.53507e-26, 3.67636e-28, 1.1463e-28
760.456, 214254, 6.53183e-26, 4.22838e-28, 1.18753e-28
751.88, 216363, 6.43542e-26, 4.89474e-28, 1.47889e-28
743.494, 215906, 6.22382e-26, 5.65055e-28, 2.24074e-28
735.294, 212238, 5.87056e-26, 6.49931e-28, 3.82682e-28
727.273, 204109, 5.33993e-26, 7.51786e-28, 6.80994e-28
719.424, 189900, 4.6033e-26, 8.73366e-28, 1.20616e-27
711.744, 168377, 3.66228e-26, 1.0106e-27, 2.07738e-27
704.225, 139179, 2.57544e-26, 1.16909e-27, 3.4322e-27
696.864, 103930, 1.50857e-26, 1.36198e-27, 5.36309e-27
689.655, 68135.6, 7.58388e-27, 1.58981e-27, 7.79176e-27
682.594, 40738.5, 6.42093e-27, 1.84936e-27, 1.03812e-26
675.676, 29356.2, 1.28544e-26, 2.15782e-27, 1.26408e-26
668.896, 35271.6, 2.52213e-26, 2.5354e-27, 1.42006e-26
662.252, 53653.7, 4.02262e-26, 2.97951e-27, 1.50018e-26
655.738, 78057.3, 5.5025e-26, 3.49522e-27, 1.52253e-26
649.351, 103788, 6.81187e-26, 4.12251e-27, 1.50932e-26
643.087, 128181, 7.90356e-26, 4.891e-27, 1.47703e-26
636.943, 150044, 8.78554e-26, 5.7968e-27, 1.43746e-26
630.915, 169407, 9.4911e-26, 6.86942e-27, 1.39783e-26
625, 186779, 1.00529e-25, 8.18884e-27, 1.36009e-26
619.195, 202401, 1.04952e-25, 9.7938e-27, 1.32459e-26
613.497, 216552, 1.08436e-25, 1.16768e-26, 1.293e-26
607.903, 229971, 1.1121e-25, 1.39027e-26, 1.2657e-26
602.41, 243227, 1.13368e-25, 1.65832e-26, 1.2406e-26
597.015, 256217, 1.14973e-25, 1.97013e-26, 1.21709e-26
591.716, 268873, 1.16177e-25, 2.31388e-26, 1.19664e-26
586.51, 281560, 1.17069e-25, 2.6857e-26, 1.17842e-26
581.395, 294130, 1.17605e-25, 3.07817e-26, 1.15985e-26
576.369, 305418, 1.17808e-25, 3.45321e-26, 1.14141e-26
571.429, 314346, 1.17813e-25, 3.75957e-26, 1.12472e-26
566.572, 320651, 1.17618e-25, 3.97374e-26, 1.1075e-26
561.798, 324021, 1.17108e-25, 4.08906e-26, 1.08702e-26
557.103, 323705, 1.16333e-25, 4.08224e-26, 1.06509e-26
552.486, 319700, 1.15424e-25, 3.94285e-26, 1.04273e-26
547.945, 313239, 1.14274e-25, 3.71606e-26, 1.01583e-26
543.478, 305366, 1.12721e-25, 3.45511e-26, 9.82448e-27
539.084, 296092, 1.1088e-25, 3.15787e-26, 9.46188e-27
534.759, 285521, 1.08835e-25, 2.81533e-26, 9.06447e-27
530.504, 274491, 1.06315e-25, 2.47499e-26, 8.57018e-27
526.316, 263368, 1.03127e-25, 2.17198e-26, 7.98526e-27
522.193, 251474, 9.9447e-26, 1.86227e-26, 7.36803e-27
518.135, 238367, 9.51872e-26, 1.52175e-26, 6.68473e-27
514.139, 224317, 8.97774e-26, 1.2189e-26, 5.89495e-27
510.204, 209013, 8.30476e-26, 9.83105e-27, 5.15242e-27
506.329, 191792, 7.53538e-26, 7.74427e-27, 4.70257e-27
502.513, 174539, 6.667e-26, 7.71238e-27, 4.84479e-27
498.753, 162729, 5.77069e-26, 1.44172e-26, 6.49808e-27
495.05, 161663, 5.28979e-26, 2.94487e-26, 1.13469e-26
491.4, 172046, 5.91949e-26, 4.59764e-26, 2.01721e-26
487.805, 189986, 7.87705e-26, 5.40431e-26, 3.08303e-26
484.262, 210107, 1.04445e-25, 5.12052e-26, 3.91545e-26
480.769, 227787, 1.25461e-25, 4.38536e-26, 4.25845e-26
477.327, 239995, 1.37045e-25, 3.80919e-26, 4.213e-26
473.934, 246028, 1.41871e-25, 3.40294e-26, 4.03403e-26
470.588, 247274, 1.43747e-25, 2.96779e-26, 3.84843e-26
467.29, 245419, 1.43717e-25, 2.53468e-26, 3.64911e-26
464.037, 241492, 1.42003e-25, 2.21366e-26, 3.44467e-26
460.829, 237055, 1.39773e-25, 2.00173e-26, 3.27673e-26
457.666, 234666, 1.37717e-25, 1.93776e-26, 3.13957e-26
454.545, 235554, 1.35268e-25, 2.12451e-26, 2.99587e-26
451.467, 237748, 1.32151e-25, 2.45066e-26, 2.84897e-26
448.43, 237989, 1.28993e-25, 2.6039e-26, 2.72263e-26
445.434, 235055, 1.2594e-25, 2.48183e-26, 2.60123e-26
442.478, 230203, 1.22311e-25, 2.30431e-26, 2.45721e-26
439.56, 225097, 1.17938e-25, 2.25954e-26, 2.30498e-26
436.681, 220406, 1.13387e-25, 2.3437e-26, 2.17075e-26
433.839, 215699, 1.08705e-25, 2.55915e-26, 2.0481e-26
431.034, 209655, 1.03493e-25, 2.91426e-26, 1.94347e-26
428.266, 201247, 9.85451e-26, 3.21421e-26, 1.93577e-26
425.532, 191883, 9.60969e-26, 3.21709e-26, 2.12907e-26
422.833, 185390, 9.7717e-26, 3.00187e-26, 2.53859e-26
420.168, 184274, 1.02392e-25, 2.83996e-26, 3.03557e-26
417.537, 186547, 1.06866e-25, 2.76484e-26, 3.40448e-26
414.938, 187611, 1.07716e-25, 2.6388e-26, 3.48078e-26
412.371, 184600, 1.03449e-25, 2.52837e-26, 3.26781e-26
409.836, 177452, 9.50357e-26, 2.58696e-26, 2.90702e-26
407.332, 166674, 8.44737e-26, 2.69162e-26, 2.52443e-26
404.858, 152503, 7.32547e-26, 2.63665e-26, 2.15883e-26
402.414, 136416, 6.26898e-26, 2.5347e-26, 1.85148e-26
400, 121451, 5.48351e-26, 2.58661e-26, 1.70005e-26
