Wavelength, Csca, Csca_p, Csca_m, Csca_Qe, Csca_Qm
nm, nm2, nm2, nm2, nm2, nm2
1000, 13677.3, 12614.9, 1139.38, 8.2552, 0.11434
985.222, 14847.7, 13551.1, 1390.7, 9.28728, 0.149159
970.874, 16134.8, 14546.5, 1703.35, 10.4237, 0.164702
956.938, 17557.4, 15604.4, 2094.67, 11.6942, 0.229557
943.396, 19142.1, 16728.3, 2588.92, 13.0866, 0.242378
930.233, 20920.5, 17921.9, 3216.73, 14.641, 0.343699
917.431, 22940.1, 19188.9, 4024.72, 16.3415, 0.364967
904.977, 25259.4, 20533.3, 5072.13, 18.2322, 0.503898
892.857, 27970, 21959.3, 6452.47, 20.3026, 0.558511
881.057, 31192.3, 23471.3, 8291.82, 22.5904, 0.731143
869.565, 35118.8, 25073.8, 10791.8, 25.1028, 0.860482
858.369, 40027.1, 26771.4, 14248.4, 27.8592, 1.06342
847.458, 46368.2, 28568.8, 19142.4, 30.8965, 1.32581
836.82, 54859.2, 30470.5, 26245.5, 34.2067, 1.56991
826.446, 66695.9, 32479.9, 36846, 37.8632, 2.03952
816.327, 83908.6, 34599, 53139.9, 41.8291, 2.37171
806.452, 109833, 36825.4, 78744.2, 46.2118, 3.12718
796.813, 149455, 39149.3, 119080, 50.955, 3.62024
787.402, 206705, 41552.6, 178466, 56.1859, 4.5712
778.21, 272658, 44033.4, 247312, 61.8508, 4.951
769.231, 310725, 46672.5, 285962, 68.0702, 5.17365
760.456, 294116, 49598.4, 265122, 74.8264, 5.17916
751.88, 248322, 52819.8, 212253, 82.1986, 5.26926
743.494, 205099, 56271.3, 161796, 90.2429, 6.48454
735.294, 173746, 59921.5, 123927, 98.9636, 7.24295
727.273, 152950, 63773.2, 97236.1, 108.522, 9.75303
719.424, 139669, 67842.2, 78452.9, 118.828, 11.0821
711.744, 131516, 72148.3, 64952.3, 130.159, 14.953
704.225, 126907, 76712.1, 55028.1, 142.336, 17.2649
696.864, 124819, 81555, 47521.2, 155.735, 22.7406
689.655, 124604, 86698.5, 41737.6, 170.132, 27.1011
682.594, 125833, 92163.7, 37163.7, 185.938, 34.4953
675.676, 128229, 97969.8, 33501.8, 202.97, 42.9006
668.896, 131590, 104132, 30503.8, 221.578, 52.7673
