Wavelength, Csca, Csca_p, Csca_m, Csca_Qe, Csca_Qm
nm, nm2, nm2, nm2, nm2, nm2
1000, 13677.3, 12625.1, 1079.57, 8.26102, 0.109292
985.222, 14847.7, 13562.5, 1315.67, 9.29417, 0.142447
970.874, 16134.8, 14559.2, 1608.93, 10.4318, 0.15698
956.938, 17557.4, 15618.6, 1975.43, 11.7038, 0.218624
943.396, 19142.1, 16744.2, 2437.65, 13.0979, 0.230352
930.233, 20920.5, 17939.4, 3023.9, 14.6542, 0.326361
917.431, 22940.1, 19208.3, 3777.31, 16.357, 0.345854
904.977, 25259.4, 20554.7, 4752.51, 18.2503, 0.476956
892.857, 27970, 21982.8, 6035.91, 20.3238, 0.527675
881.057, 31192.3, 23497.1, 7743.56, 22.615, 0.68968
869.565, 35118.8, 25101.9, 10061.4, 25.1313, 0.810354
858.369, 40027.1, 26802.1, 13261.5, 27.8923, 0.999386
847.458, 46368.2, 28602.2, 17786.5, 30.9347, 1.24408
836.82, 54859.2, 30506.6, 24344.8, 34.2508, 1.46928
826.446, 66695.9, 32519.1, 34119.1, 37.9139, 1.90567
816.327, 83908.6, 34641.5, 49122.4, 41.8874, 2.20888
806.452, 109833, 36871.9, 72665.5, 46.2787, 2.90622
796.813, 149455, 39201, 109698, 51.0315, 3.35054
787.402, 206705, 41611.9, 164120, 56.2732, 4.2172
778.21, 272658, 44103, 227038, 61.9504, 4.54625
769.231, 310725, 46752.2, 262065, 68.1834, 4.73908
760.456, 294116, 49682.8, 242547, 74.955, 4.74639
751.88, 248322, 52903, 193845, 82.3442, 4.84042
743.494, 205099, 56350.3, 147511, 90.4075, 5.97557
735.294, 173746, 59994.7, 112793, 99.1493, 6.67828
727.273, 152950, 63839.2, 88350.7, 108.731, 8.99683
719.424, 139669, 67898.9, 71164.5, 119.062, 10.211
711.744, 131516, 72193, 58820.9, 130.421, 13.7671
704.225, 126907, 76741.2, 49752.1, 142.63, 15.8686
696.864, 124819, 81563.8, 42896.7, 156.062, 20.8759
689.655, 124604, 86680.9, 37616.7, 170.495, 24.8334
682.594, 125833, 92112, 33444, 186.34, 31.5628
675.676, 128229, 97874.4, 30103.8, 203.414, 39.1825
